Corey Perry;$8,625,000;Ducks;2021
Ryan Getzlaf;$8,250,000;Ducks;2021
Saku Koivu;$3,500,000;Ducks;2021
Andrew Cogliano;$2,390,000;Ducks;2021
Dustin Penner;$2,000,000;Ducks;2021
Daniel Winnik;$1,800,000;Ducks;2021
Kyle Palmieri;$1,466,667;Ducks;2021
Matt Beleskey;$1,350,000;Ducks;2021
Peter Holland;$1,295,000;Ducks;2021
J. Silfverberg;$900,000;Ducks;2021
Devante Smith-Pelly;$870,000;Ducks;2021
Emerson Etem;$870,000;Ducks;2021
Nick Bonino;$700,000;Ducks;2021
Brad Staubitz;$637,500;Ducks;2021
Patrick Maroon;$575,000;Ducks;2021
Teemu Selanne;Not signed;Ducks;2021
Matthew Lombardi;Not signed;Ducks;2021
David Steckel;Not signed;Ducks;2021
Radek Dvorak;Not signed;Ducks;2021
Cam Fowler;$4,000,000;Ducks;Defensemen
Sheldon Souray;$3,666,667;Ducks;Defensemen
Francois Beauchemin;$3,500,000;Ducks;Defensemen
Bryan Allen;$3,500,000;Ducks;Defensemen
Luca Sbisa;$2,175,000;Ducks;Defensemen
Sami Vatanen;$1,325,000;Ducks;Defensemen
Ben Lovejoy;$1,100,000;Ducks;Defensemen
Mark Fistric;$900,000;Ducks;Defensemen
Toni Lydman;Not signed;Ducks;Defensemen
Jonas Hiller;$4,500,000;Ducks;Goaltenders
Viktor Fasth;$2,900,000;Ducks;Goaltenders
F. Andersen;$1,775,000;Ducks;Non-Roster Players
Hampus Lindholm;$1,744,167;Ducks;Non-Roster Players
A. Laganiere;$1,350,000;Ducks;Non-Roster Players
Stefan Noesen;$1,075,833;Ducks;Non-Roster Players
Max Friberg;$925,000;Ducks;Non-Roster Players
J. Cramarossa;$925,000;Ducks;Non-Roster Players
Charles Sarault;$925,000;Ducks;Non-Roster Players
Kevin Gagne;$925,000;Ducks;Non-Roster Players
Steven Whitney;$925,000;Ducks;Non-Roster Players
Chris Wagner;$900,000;Ducks;Non-Roster Players
John Gibson;$894,167;Ducks;Non-Roster Players
Rickard Rakell;$894,167;Ducks;Non-Roster Players
Igor Bobkov;$870,000;Ducks;Non-Roster Players
William Karlsson;$830,833;Ducks;Non-Roster Players
Stefan Warg;$717,500;Ducks;Non-Roster Players
Tim Heed;$716,667;Ducks;Non-Roster Players
Andrew O'Brien;$618,333;Ducks;Non-Roster Players
Zack Stortini;$600,000;Ducks;Non-Roster Players
Nolan Yonkman;$600,000;Ducks;Non-Roster Players
John Kurtz;$570,000;Ducks;Non-Roster Players
Alex Grant;$550,000;Ducks;Non-Roster Players
Mat Clark;$550,000;Ducks;Non-Roster Players
John Mitchell;$542,500;Ducks;Non-Roster Players
Marco Cousineau;Not signed;Ducks;Non-Roster Players
Ryan Parent;Not signed;Ducks;Non-Roster Players
Matt Kennedy;Not signed;Ducks;Non-Roster Players
Milan Lucic;$6,000,000;Bruins;Forwards
Jarome Iginla;$6,000,000;Bruins;Forwards
David Krejci;$5,250,000;Bruins;Forwards
Patrice Bergeron;$5,000,000;Bruins;2022
Brad Marchand;$4,500,000;Bruins;2022
Loui Eriksson;$4,250,000;Bruins;2022
Marc Savard;$4,027,143;Bruins;2022
Chris Kelly;$3,000,000;Bruins;2022
Gregory Campbell;$1,600,000;Bruins;2022
Daniel Paille;$1,300,000;Bruins;2022
Shawn Thornton;$1,100,000;Bruins;2022
Carl Soderberg;$1,008,333;Bruins;2022
Jordan Caron;$640,000;Bruins;2022
Kaspars Daugavins;Not signed;Bruins;2022
Jay Pandolfo;Not signed;Bruins;2022
Zdeno Chara;$6,916,667;Bruins;Defensemen
Johnny Boychuk;$3,366,667;Bruins;Defensemen
Dennis Seidenberg;$3,250,000;Bruins;Defensemen
Torey Krug;$1,704,167;Bruins;Defensemen
Adam McQuaid;$1,566,667;Bruins;Defensemen
Dougie Hamilton;$1,494,167;Bruins;Defensemen
Matt Bartkowski;$650,000;Bruins;Defensemen
Wade Redden;Not signed;Bruins;Defensemen
Tuukka Rask;$7,000,000;Bruins;2021
Chad Johnson;$600,000;Bruins;2021
Malcolm Subban;$1,494,167;Bruins;Non-Roster Players
Niklas Svedberg;$1,000,000;Bruins;Non-Roster Players
Chris Casto;$925,000;Bruins;Non-Roster Players
Matt Lindblad;$925,000;Bruins;Non-Roster Players
Seth Griffith;$925,000;Bruins;Non-Roster Players
Anthony Camara;$925,000;Bruins;Non-Roster Players
Zach Trotman;$900,000;Bruins;Non-Roster Players
Justin Florek;$900,000;Bruins;Non-Roster Players
Reilly Smith;$900,000;Bruins;Non-Roster Players
A. Fallstrom;$900,000;Bruins;Non-Roster Players
A. Khokhlachev;$894,167;Bruins;Non-Roster Players
David Warsofsky;$875,000;Bruins;Non-Roster Players
Tommy Cross;$875,000;Bruins;Non-Roster Players
Jared Knight;$870,000;Bruins;Non-Roster Players
Ryan Spooner;$870,000;Bruins;Non-Roster Players
