Corey Perry;$8,625,000;Ducks;2021
Ryan Getzlaf;$8,250,000;Ducks;2021
Ryan Kesler;$5,000,000;Ducks;2021
Andrew Cogliano;$3,000,000;Ducks;2021
Nate Thompson;$1,600,000;Ducks;2021
Kyle Palmieri;$1,466,667;Ducks;2021
Matt Beleskey;$1,350,000;Ducks;2021
Dany Heatley;$1,000,000;Ducks;2021
Emerson Etem;$870,000;Ducks;WAIVER EXEMPT
J. Silfverberg;$850,500;Ducks;WAIVER EXEMPT
Tim Jackman;$637,500;Ducks;WAIVER EXEMPT
Patrick Maroon;$575,000;Ducks;WAIVER EXEMPT
D. S.-Pelly;Not signed;Ducks;WAIVER EXEMPT
Saku Koivu;Not signed;Ducks;WAIVER EXEMPT
Cam Fowler;$4,000,000;Ducks;Defensemen
Sheldon Souray;$3,666,667;Ducks;Defensemen
F. Beauchemin;$3,500,000;Ducks;Defensemen
Bryan Allen;$3,500,000;Ducks;Defensemen
Clayton Stoner;$3,250,000;Ducks;Defensemen
Mark Fistric;$1,266,667;Ducks;Defensemen
Sami Vatanen;$1,262,500;Ducks;Defensemen
Ben Lovejoy;$1,100,000;Ducks;Defensemen
Hampus Lindholm;$894,167;Ducks;WAIVER EXEMPT
F. Andersen;$1,150,000;Ducks;WAIVER EXEMPT
Jason Labarbera;$750,000;Ducks;WAIVER EXEMPT
Josh Manson;$925,000;Ducks;WAIVER EXEMPT
Nicolas Kerdiles;$925,000;Ducks;WAIVER EXEMPT
Chris Wagner;$900,000;Ducks;WAIVER EXEMPT
Rickard Rakell;$894,167;Ducks;WAIVER EXEMPT
Shea Theodore;$894,167;Ducks;WAIVER EXEMPT
Stefan Noesen;$863,333;Ducks;WAIVER EXEMPT
William Karlsson;$830,833;Ducks;WAIVER EXEMPT
Charles Sarault;$806,667;Ducks;WAIVER EXEMPT
Nick Sorensen;$803,333;Ducks;WAIVER EXEMPT
Jaycob Megna;$786,667;Ducks;WAIVER EXEMPT
Max Friberg;$776,667;Ducks;WAIVER EXEMPT
Kevin Gagne;$767,500;Ducks;WAIVER EXEMPT
J. Cramarossa;$752,500;Ducks;WAIVER EXEMPT
John Gibson;$721,667;Ducks;WAIVER EXEMPT
Steven Whitney;$717,500;Ducks;WAIVER EXEMPT
Matt Bailey;$692,500;Ducks;WAIVER EXEMPT
Kenton Helgesen;$626,667;Ducks;WAIVER EXEMPT
Andrew O'Brien;$618,333;Ducks;WAIVER EXEMPT
Ryan Faragher;$615,000;Ducks;WAIVER EXEMPT
John Kurtz;$600,000;Ducks;WAIVER EXEMPT
Jesse Blacker;$550,000;Ducks;WAIVER EXEMPT
Mat Clark;$550,000;Ducks;WAIVER EXEMPT
Louis Leblanc;$550,000;Ducks;WAIVER EXEMPT
Igor Bobkov;$550,000;Ducks;WAIVER EXEMPT
A. Laganiere;$550,000;Ducks;WAIVER EXEMPT
Andre Petersson;Not signed;Ducks;WAIVER EXEMPT
Nolan Yonkman;Not signed;Ducks;WAIVER EXEMPT
David Steckel;Not signed;Ducks;WAIVER EXEMPT
Patrice Bergeron;$6,500,000;Bruins;2022
Milan Lucic;$6,000,000;Bruins;2022
David Krejci;$5,250,000;Bruins;2021
Brad Marchand;$4,500,000;Bruins;2021
Loui Eriksson;$4,250,000;Bruins;2021
Marc Savard;$4,027,143;Bruins;2021
Chris Kelly;$3,000,000;Bruins;2021
Gregory Campbell;$1,600,000;Bruins;2021
Daniel Paille;$1,300,000;Bruins;2021
Carl Soderberg;$1,008,333;Bruins;2021
Jordan Caron;$600,000;Bruins;2021
Justin Florek;$600,000;Bruins;WAIVER EXEMPT
Reilly Smith;Not signed;Bruins;WAIVER EXEMPT
Zdeno Chara;$6,916,667;Bruins;Defensemen
D. Seidenberg;$4,000,000;Bruins;Defensemen
Johnny Boychuk;$3,366,667;Bruins;Defensemen
Adam McQuaid;$1,566,667;Bruins;Defensemen
Matt Bartkowski;$1,250,000;Bruins;Defensemen
Dougie Hamilton;$894,167;Bruins;WAIVER EXEMPT
Kevan Miller;$800,000;Bruins;WAIVER EXEMPT
Torey Krug;Not signed;Bruins;WAIVER EXEMPT
Corey Potter;Not signed;Bruins;WAIVER EXEMPT
Tuukka Rask;$7,000,000;Bruins;2021
Niklas Svedberg;$600,000;Bruins;WAIVER EXEMPT
David Pastrnak;$925,000;Bruins;WAIVER EXEMPT
Brian Ferlin;$875,000;Bruins;WAIVER EXEMPT
Joe Morrow;$863,333;Bruins;WAIVER EXEMPT
Malcolm Subban;$863,333;Bruins;WAIVER EXEMPT
Matt Lindblad;$833,750;Bruins;WAIVER EXEMPT
Anthony Camara;$817,500;Bruins;WAIVER EXEMPT
Linus Arnesson;$817,500;Bruins;WAIVER EXEMPT
Chris Casto;$792,500;Bruins;WAIVER EXEMPT
A. Khokhlachev;$786,667;Bruins;WAIVER EXEMPT
Jared Knight;$760,000;Bruins;WAIVER EXEMPT
