rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points
1;Martin St Louis;TBL;R;48;17;43;60;34;43;77
2;Steven Stamkos;TBL;C;48;29;28;57;58;28;86
3;Alex Ovechkin;WSH;L;48;32;24;56;64;24;88
4;Sidney Crosby;PIT;C;36;15;41;56;30;41;71
5;Patrick Kane;CHI;R;47;23;32;55;46;32;78
6;Eric Staal;CAR;C;48;18;35;53;36;35;71
7;Chris Kunitz;PIT;L;48;22;30;52;44;30;74
8;Phil Kessel;TOR;C;48;20;32;52;40;32;72
9;Taylor Hall;EDM;L;45;16;34;50;32;34;66
10;Pavel Datsyuk;DET;C;47;15;34;49;30;34;64
11;Ryan Getzlaf;ANA;C;44;15;34;49;30;34;64
12;Mike Ribeiro;WSH;C;48;13;36;49;26;36;62
13;Jonathan Toews;CHI;C;47;23;25;48;46;25;71
14;Claude Giroux;PHI;R;48;13;35;48;26;35;61
15;Henrik Zetterberg;DET;L;46;11;37;48;22;37;59
16;Nicklas Backstrom;WSH;C;48;8;40;48;16;40;56
17;John Tavares;NYI;C;48;28;19;47;56;19;75
18;Jakub Voracek;PHI;R;48;22;24;46;44;24;68
19;Andrew Ladd;WPG;L;48;18;28;46;36;28;64
20;Henrik Sedin;VAN;C;48;11;34;45;22;34;56
21;Derek Stepan;NYR;C;48;18;26;44;36;26;62
22;Nazem Kadri;TOR;C;48;18;26;44;36;26;62
23;Matt Moulson;NYI;L;47;15;29;44;30;29;59
24;Alexander Semin;CAR;R;44;13;31;44;26;31;57
25;PA Parenteau;COL;R;48;18;25;43;36;25;61
26;Matt Duchene;COL;C;47;17;26;43;34;26;60
27;Rick Nash;NYR;L;44;21;21;42;42;21;63
28;Anze Kopitar;LAK;C;47;10;32;42;20;32;52
29;Thomas Vanek;BUF;L;38;20;21;41;40;21;61
30;Blake Wheeler;WPG;R;48;19;22;41;38;22;60
31;Daniel Sedin;VAN;L;47;12;28;40;24;28;52
32;Joe Thornton;SJS;C;48;7;33;40;14;33;47
