rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points
1;Sidney Crosby;PIT;C;80;36;68;104;72;68;140
2;Ryan Getzlaf;ANA;C;77;31;56;87;62;56;118
3;Claude Giroux;PHI;C;82;28;58;86;56;58;114
4;Tyler Seguin;DAL;C;80;37;47;84;74;47;121
5;Corey Perry;ANA;R;81;43;39;82;86;39;125
6;Phil Kessel;TOR;R;82;37;43;80;74;43;117
7;Taylor Hall;EDM;L;75;27;53;80;54;53;107
8;Alex Ovechkin;WSH;R;78;51;28;79;102;28;130
9;Joe Pavelski;SJS;C;82;41;38;79;82;38;120
10;Jamie Benn;DAL;L;81;34;45;79;68;45;113
11;Nicklas Backstrom;WSH;C;82;18;61;79;36;61;97
12;Patrick Sharp;CHI;L;82;34;44;78;68;44;112
13;Joe Thornton;SJS;C;82;11;65;76;22;65;87
14;Erik Karlsson;OTT;D;82;20;54;74;60;108;168
15;Evgeni Malkin;PIT;C;60;23;49;72;46;49;95
16;Patrick Marleau;SJS;L;82;33;37;70;66;37;103
17;Anze Kopitar;LAK;C;82;29;41;70;58;41;99
18;Matt Duchene;COL;C;71;23;47;70;46;47;93
19;Martin St. Louis;TBL, NYR;R;81;30;39;69;60;39;99
20;Patrick Kane;CHI;R;69;29;40;69;58;40;98
21;Blake Wheeler;WPG;R;82;28;41;69;56;41;97
22;Kyle Okposo;NYI;R;71;27;42;69;54;42;96
23;David Krejci;BOS;C;80;19;50;69;38;50;88
24;Chris Kunitz;PIT;L;78;35;33;68;70;33;103
25;Jonathan Toews;CHI;C;76;28;40;68;56;40;96
26;Thomas Vanek;BUF, NYI, MTL;L;78;27;41;68;54;41;95
27;Jaromir Jagr;NJD;R;82;24;43;67;48;43;91
28;John Tavares;NYI;C;59;24;42;66;48;42;90
29;Jason Spezza;OTT;C;75;23;43;66;46;43;89
30;Jordan Eberle;EDM;R;80;28;37;65;56;37;93
31;Gabriel Landeskog;COL;L;81;26;39;65;52;39;91
32;Ryan O'Reilly;COL;C;80;28;36;64;56;36;92
33;Bryan Little;WPG;C;82;23;41;64;46;41;87
34;Ryan Johansen;CBJ;C;82;33;30;63;66;30;96
35;Nathan MacKinnon;COL;C;82;24;39;63;48;39;87
36;Alexander Steen;STL;L;68;33;29;62;66;29;95
37;Patrice Bergeron;BOS;C;80;30;32;62;60;32;92
38;Jakub Voracek;PHI;R;82;23;39;62;46;39;85
39;James van Riemsdyk;TOR;L;80;30;31;61;60;31;91
40;Jarome Iginla;BOS;R;78;30;31;61;60;31;91
41;James Neal;PIT;L;59;27;34;61;54;34;88
42;Eric Staal;CAR;C;79;21;40;61;42;40;82
43;Duncan Keith;CHI;D;79;6;55;61;18;110;128
44;Max Pacioretty;MTL;L;73;39;21;60;78;21;99
45;Jason Pominville;MIN;R;82;30;30;60;60;30;90
