rank;name;old_team;gp;gs;wins;losses;ot;so;our_wins;our_so;our_ot;our_total
1;Henrik Lundqvist;NYR;43;43;24;16;3;2;72;10;3;85
2;Antti Niemi;SJS;43;43;24;12;6;4;72;20;6;98
3;Niklas Backstrom;MIN;42;41;24;15;3;2;72;10;3;85
4;Marc-Andre Fleury;PIT;33;31;23;8;0;1;69;5;0;74
5;Evgeni Nabokov;NYI;41;41;23;11;7;3;69;15;7;91
6;Braden Holtby;WSH;36;35;23;12;1;4;69;20;1;90
7;Sergei Bobrovsky;CBJ;38;37;21;11;6;4;63;20;6;89
8;Jimmy Howard;DET;42;42;21;13;7;5;63;25;7;95
9;Carey Price;MTL;39;38;21;13;4;3;63;15;4;82
10;Ondrej Pavelec;WPG;44;43;21;20;3;0;63;0;3;66
11;Corey Crawford;CHI;30;28;19;5;5;3;57;15;5;77
12;Tuukka Rask;BOS;36;34;19;10;5;5;57;25;5;87
13;James Reimer;TOR;33;31;19;8;5;4;57;20;5;82
14;Ilya Bryzgalov;PHI;40;40;19;17;3;1;57;5;3;65
15;Jonathan Quick;LAK;37;36;18;13;4;1;54;5;4;63
16;Ray Emery;CHI;21;19;17;1;0;3;51;15;0;66
17;Cory Schneider;VAN;30;30;17;9;4;5;51;25;4;80
18;Ryan Miller;BUF;40;39;17;17;5;0;51;0;5;56
19;Viktor Fasth;ANA;25;23;15;6;2;4;45;20;2;67
20;Jonas Hiller;ANA;26;25;15;6;4;1;45;5;4;54
21;Pekka Rinne;NSH;43;42;15;16;8;5;45;25;8;78
22;Mike Smith;PHX;34;34;15;12;5;5;45;25;5;75
23;Kari Lehtonen;DAL;36;35;15;14;3;1;45;5;3;53
24;Brian Elliott;STL;24;20;14;8;1;3;42;15;1;58
25;Devan Dubnyk;EDM;38;37;14;16;6;2;42;10;6;58
26;Martin Brodeur;NJD;29;29;13;9;7;2;39;10;7;56
27;Tomas Vokoun;PIT;20;17;13;4;0;3;39;15;0;54
28;Craig Anderson;OTT;24;24;12;9;2;3;36;15;2;53
29;Ben Bishop;OTT, TBL;22;21;11;9;1;2;33;10;1;44
30;Semyon Varlamov;COL;35;33;11;21;3;3;33;15;3;51
