Alex Ovechkin;F1;
P.K. Subban;D1;red
Steven Stamkos;F1;green
Kris Letang;D1;red
Patrick Kane;F1;
Martin St Louis;F2;green
John Tavares;F1;green
Chris Kunitz;F1;red
Phil Kessel;F1;green
Jonathan Toews;F2;
Eric Staal;F2;
Sidney Crosby;F2;green
Andrei Markov;D2;
Keith Yandle;D1;green
Jakub Voracek;F2;green
Ryan Suter;D1;
Taylor Hall;F4;
Shea Weber;D1;
Dion Phaneuf;D1;
Andrew Ladd;F1;green
Mike Green;D1;green
Pavel Datsyuk;;
Ryan Getzlaf;F1;
Dustin Byfuglien;D1;orange
Rick Nash;;
Niklas Kronwall;D1;yellow
Kimmo Timonen;D2;
Derek Stepan;;green
Nazem Kadri;F3;
Mike Ribeiro;F1;
Brian Campbell;D1;
Justin Schultz;D1;orange
Cody Franson;D2;
Jiri Tlusty;F3;red
Thomas Vanek;;
PA Parenteau;F2;
Claude Giroux;F1;red
Blake Wheeler;F2;
Matt Duchene;F1;orange
Mark Streit;D1;green
Jeff Carter;F2;
Matt Moulson;F2;green
Henrik Zetterberg;;
Logan Couture;pp;red
Pascal Dupuis;D3;green
James Neal;F4;green
Alexander Semin;F1;
Duncan Keith;D1;green
Sergei Gonchar;D1;
Alex Goligoski;D2;green
Zach Parise;;
Henrik Sedin;F2;
Slava Voynov;D1;green
Nicklas Backstrom;F2;
Brad Marchand;F1;green
Chris Stewart;F1;
Max Pacioretty;F1;
Francois Beauchemin;D1;green
Jordan Eberle;F1;
Alex Pietrangelo;D1;green
Troy Brouwer;F3;
Sam Gagner;;
Daniel Sedin;F1;
Alexander Edler;D1;green
Anze Kopitar;F1;
Paul Martin;D2;
Dan Hamhuis;D2;
Jaromir Jagr;F1;
Michael Ryder;F2;
Corey Perry;F2;
Jay Bouwmeester;D3;
Kevin Shattenkirk;D2;green
Oliver Ekman-Larsson;D2;
James van Riemsdyk;F2;
Evander Kane;;
Patrik Elias;F3;
Drew Doughty;D2;
Dennis Wideman;D1;
John Carlson;D2;
Cody Hodgson;;green
Brent Burns;D1;yellow
Christian Ehrhoff;D1;
Matthew Carle;D2;
Patrick Marleau;;
Marian Hossa;F3;
Nail Yakupov;F2;green
Tyler Seguin;;
Jason Pominville;;
Brent Seabrook;D2;
Mikko Koivu;;
Fedor Tyutin;D3;
Dustin Brown;F3;
Ryan Callahan;;
Joe Pavelski;F1;green
Wayne Simmonds;;
Tomas Plekanec;;
Jarome Iginla;F4;
Tomas Fleischmann;;
Teddy Purcell;F3;green
Dan Boyle;D2;
Joe Thornton;;
Jonathan Huberdeau;;
Johan Franzen;;
Mike Cammalleri;F1;
Jamie Benn;;
Brad Richards;;
Zdeno Chara;D1;
Brad Boyes;;green
Michael Del Zotto;D1;green
Mike Richards;;
Justin Williams;F4;green
Victor Hedman;D1;
Brendan Gallagher;;
David Krejci;F2;
Jack Johnson;D1;
Patrick Wiercioch;;
Patrik Berglund;F2;
Tomas Kopecky;;
Vinny Prospal;;
Ilya Kovalchuk;;
Patrice Bergeron;;
Vincent Lecavalier;;
Evgeni Malkin;F3;green
Nick Leddy;D3;green
Ryan McDonagh;D2;
Marek Zidlicky;D1;
Curtis Glencross;F2;
Loui Eriksson;F3;
Kyle Turris;;
Derick Brassard;;
Bobby Ryan;;
Sheldon Souray;D2;
Jordan Staal;;
Tyler Ennis;;green
Lee Stempniak;F4;
Roman Josi;D2;
Brian Gionta;;
Shane Doan;;
Mark Letestu;F4;orange
Devin Setoguchi;;
Tyler Bozak;D3;
Radim Vrbata;F2;green
Jason Garrison;D3;
Cory Conacher;;green
Ray Whitney;;
Joe Corvo;;
David Clarkson;;
Marian Gaborik;F1;
Jake Muzzin;D3;green
Bryan Little;;
Damien Brunner;;
Alex Tanguay;;
David Desharnais;;green
Lars Eller;;
Dennis Seidenberg;;
