Ryan Getzlaf;$5,325,000;Ducks;Forwards
Corey Perry;$5,325,000;Ducks;Forwards
Bobby Ryan;$5,100,000;Ducks;Forwards
Teemu Selanne;$4,500,000;Ducks;Forwards
Saku Koivu;$3,800,000;Ducks;Forwards
Andrew Cogliano;$2,390,000;Ducks;Forwards
Daniel Winnik;$1,800,000;Ducks;Forwards
Kyle Palmieri;$1,025,000;Ducks;Forwards
Brandon McMillan;$875,000;Ducks;Forwards
Devante Smith-Pelly;$870,000;Ducks;Forwards
Matt Beleskey;$737,500;Ducks;Forwards
Nick Bonino;$700,000;Ducks;Forwards
Brad Staubitz;$637,500;Ducks;Forwards
Jason Blake;Not signed;Ducks;Forwards
Rod Pelley;Not signed;Ducks;Forwards
Sheldon Souray;$3,666,667;Ducks;Defensemen
Francois Beauchemin;$3,500,000;Ducks;Defensemen
Bryan Allen;$3,500,000;Ducks;Defensemen
Toni Lydman;$3,000,000;Ducks;Defensemen
Luca Sbisa;$2,175,000;Ducks;Defensemen
Cam Fowler;$1,400,000;Ducks;Defensemen
Nate Guenin;$525,000;Ducks;Defensemen
Jonas Hiller;$4,500,000;Ducks;Goaltenders
J. D.-Deslauriers;$612,500;Ducks;Goaltenders
F. Andersen;$1,775,000;Ducks;Non-Roster Players
Hampus Lindholm;$1,775,000;Ducks;Non-Roster Players
Sami Vatanen;$1,325,000;Ducks;Non-Roster Players
Peter Holland;$1,295,000;Ducks;Non-Roster Players
John Gibson;$925,000;Ducks;Non-Roster Players
Max Friberg;$925,000;Ducks;Non-Roster Players
Rickard Rakell;$925,000;Ducks;Non-Roster Players
Mat Clark;$900,000;Ducks;Non-Roster Players
Chris Wagner;$900,000;Ducks;Non-Roster Players
Igor Bobkov;$870,000;Ducks;Non-Roster Players
Emerson Etem;$870,000;Ducks;Non-Roster Players
Tim Heed;$716,667;Ducks;Non-Roster Players
Corey Elkins;$700,000;Ducks;Non-Roster Players
Marco Cousineau;$660,000;Ducks;Non-Roster Players
Matt Smaby;$650,000;Ducks;Non-Roster Players
Ryan Lasch;$625,000;Ducks;Non-Roster Players
Jordan Hendry;$600,000;Ducks;Non-Roster Players
Josh Brittain;$600,000;Ducks;Non-Roster Players
Matt Kennedy;$566,666;Ducks;Non-Roster Players
P. L.-Leblond;$550,000;Ducks;Non-Roster Players
Patrick Maroon;$550,000;Ducks;Non-Roster Players
